GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
FAM107A	11.7400138469933	10.6492456290917	10.2317555015101	11.9813081285144	11.4901785675894	11.6659862898272	11.6312779830456	10.7904911070373	12.2428177947921	10.5142780853192	10.6950289519786	10.600664077452	10.8835034092108	11.4857758663973	11.6541027382437	11.4521710172581	10.5841743545485	11.5547927238226	11.414985164871	11.8283146233316
TUBB2A	11.2159806326582	12.0759348495112	11.9752286938356	11.1617050593422	11.1157864274056	10.3562273433338	10.731708375987	11.4884582243553	11.0640387964423	11.8211470001721	11.9216422793869	11.7895524032881	11.6860839273452	11.8525037338264	10.9267108069234	11.1441113946598	11.7437107492692	11.3842233950298	11.86375139963	10.8498677883504
PLP1	11.3087171716359	9.86683579544921	11.1394052606874	10.7140467047741	11.1491636072101	11.8459002130145	9.91865232025648	10.3902692224866	11.3187218310591	10.6801760690529	11.1196885033993	10.805020209017	11.2393583782647	10.9184703485867	11.0021902615443	10.7438054374835	10.8378860014748	11.2485213567779	11.3042275064979	11.4574503072392
RPS18	10.8314814751651	10.8074957316254	11.0819721486824	11.2605411554201	11.2724806369621	11.4688414717285	11.62449325445	11.246370237022	11.7362538034543	11.4038883933926	10.8922217332756	10.8735165056686	11.4416224695087	11.4486296958736	11.2644239750626	11.0990678245321	11.2839427140289	11.2068441164669	11.0681939449688	11.1224039537209
ATP1B1	11.5722531667295	11.1312683147042	11.366088171225	11.543084874643	10.839763714459	10.8693272018241	10.3432250923186	11.4663780621044	10.3676886951384	11.2090155721492	10.185572864129	11.5607053791235	11.236210190664	11.0560086800239	10.6086428218097	11.5467637001233	11.2153177858164	10.8569701124197	11.2125472430588	10.7816321959798
EEF1A1	11.0304953225171	10.5804477765652	10.9623255664861	11.0341203675387	11.0512130969678	11.4577263674125	10.7888995759257	10.7910368784197	11.2825267310551	10.9737760228121	10.9040929794627	10.9225865968162	11.0163359820967	11.0373515749765	11.0340784283897	10.8148822702035	11.0110213737369	11.0478980813312	11.2375961675616	11.2232714083346
MT2A	11.6140438597897	10.7020527743623	10.1615116229744	11.541703635769	11.3309429635	10.8682084206862	12.0724235372137	10.6255471236659	11.6932700019309	10.3101737669197	10.3472596947633	10.0733037988096	11.0655495866568	11.841142303797	11.2177313434813	12.1421713221032	9.67741934953992	11.1865437920337	11.1386626416215	11.4214938624093
RPL3	10.7810511786468	11.3280505290489	11.2081513219189	11.1103771161754	10.8338148186404	11.4610157210249	11.6555960181065	10.7779361919095	11.3764171918175	10.9827169522961	11.1524761674758	11.2164136305475	11.1544638470716	10.9238143630094	10.7800791302088	10.9745493783982	10.9994733314434	11.1443236135733	10.9991260944007	10.8906233177293
GFAP	11.8072323064901	10.5850089012824	10.9698930587676	11.8348209962436	11.3475384902124	11.753913834302	10.058971681204	11.3163562065061	12.2434560539906	10.2852772012853	10.385378432419	10.8221414994319	10.9223122312743	11.176434437798	10.8786558811002	10.8463219114705	10.7906492363432	11.4331617484882	11.5710763213372	11.3741301383929
FTL	11.0935198240214	9.97842310856036	10.7839179173302	10.9001146793399	11.5993760344203	11.5114704889532	11.3736102093079	10.9251867452083	12.2876545135606	10.9852644813329	9.75392737772929	10.8458048220939	11.0789004945094	11.0856651808537	11.1332085172408	10.3029208806315	11.0768247089443	11.1602056484278	10.8181776077514	10.9958112349282
