Sample	Region	Class
GSM119664	PC	CT
GSM119665	PC	CT
GSM119666	SFG	CT
GSM119667	SFG	CT
GSM119668	SFG	CT
GSM119669	SFG	CT
GSM119670	SFG	CT
GSM119671	SFG	CT
GSM119672	SFG	CT
GSM119673	SFG	CT
GSM119674	SFG	CT
GSM119675	SFG	CT
GSM119676	SFG	CT
GSM119677	VCX	CT
GSM119678	VCX	CT
GSM119679	VCX	CT
GSM119680	VCX	CT
GSM119681	VCX	CT
GSM119682	VCX	CT
GSM119683	VCX	CT
GSM119684	VCX	CT
GSM119685	VCX	CT
GSM119686	VCX	CT
GSM119687	VCX	CT
GSM119688	VCX	CT
GSM318211	FC	CT
GSM318212	FC	CT
GSM318213	FC	CT
GSM318310	FC	CT
GSM318311	FC	CT
GSM318312	FC	CT
GSM318313	FC	CT
GSM318314	FC	CT
GSM697308	HIP	CT
GSM697309	HIP	CT
GSM697310	HIP	CT
GSM697311	HIP	CT
GSM697312	HIP	CT
GSM697313	HIP	CT
GSM697314	HIP	CT
GSM697315	HIP	CT
GSM726084	HIP	CT
GSM726085	HIP	CT
GSM726086	HIP	CT
GSM726088	HIP	CT
GSM726089	HIP	CT
GSM726090	HIP	CT
GSM726097	HIP	CT
GSM726099	HIP	CT
GSM726100	HIP	CT
GSM726102	HIP	CT
GSM726103	HIP	CT
GSM726104	HIP	CT
GSM726105	HIP	CT
GSM726109	HIP	CT
GSM726110	HIP	CT
GSM726112	HIP	CT
GSM726113	HIP	CT
GSM726116	HIP	CT
GSM726117	HIP	CT
GSM726121	HIP	CT
GSM726124	HIP	CT
GSM726125	HIP	CT
GSM726130	HIP	CT
GSM726131	HIP	CT
GSM726132	HIP	CT
GSM726133	HIP	CT
GSM726134	HIP	CT
GSM726136	HIP	CT
GSM726137	HIP	CT
GSM726139	HIP	CT
GSM726140	HIP	CT
GSM726144	HIP	CT
GSM907807	FC	CT
GSM907808	FC	CT
GSM907809	FC	CT
GSM907810	FC	CT
GSM907811	FC	CT
GSM907812	FC	CT
GSM907813	FC	CT
GSM907814	FC	CT
GSM907815	FC	CT
GSM907816	FC	CT
GSM907817	FC	CT
GSM907818	FC	CT
GSM907819	FC	CT
GSM907820	FC	CT
GSM907821	FC	CT
GSM907822	FC	CT
GSM907823	FC	CT
GSM907824	FC	CT
GSM907835	TC	CT
GSM907836	TC	CT
GSM907837	TC	CT
GSM907838	TC	CT
GSM907839	TC	CT
GSM907840	TC	CT
GSM907841	TC	CT
GSM907842	TC	CT
GSM907843	TC	CT
GSM907844	TC	CT
GSM907845	TC	CT
GSM907846	TC	CT
GSM907847	TC	CT
GSM907848	TC	CT
GSM907849	TC	CT
GSM907850	TC	CT
GSM907851	TC	CT
GSM907852	TC	CT
GSM907853	TC	CT
GSM907861	HIP	CT
GSM907862	HIP	CT
GSM907863	HIP	CT
GSM907864	HIP	CT
GSM907865	HIP	CT
GSM907866	HIP	CT
GSM907867	HIP	CT
GSM907868	HIP	CT
GSM907869	HIP	CT
GSM907870	HIP	CT
GSM300166	PCG	CT
GSM300167	SFG	CT
GSM300168	HIP	CT
GSM300169	HIP	CT
GSM300170	HIP	CT
GSM300171	HIP	CT
GSM300172	HIP	CT
GSM300173	EC	CT
GSM300174	HIP	CT
GSM300175	PCG	CT
GSM300176	SFG	CT
GSM300177	EC	CT
GSM300178	HIP	CT
GSM300179	PCG	CT
GSM300180	SFG	CT
GSM300181	EC	CT
GSM300182	HIP	CT
GSM300183	PCG	CT
GSM300185	HIP	CT
GSM300186	EC	CT
GSM300187	HIP	CT
GSM300188	SFG	CT
GSM300189	EC	CT
GSM300190	HIP	CT
GSM300191	SFG	CT
GSM300192	EC	CT
GSM300193	HIP	CT
GSM300194	PCG	CT
GSM300195	SFG	CT
GSM300196	EC	CT
GSM300197	HIP	CT
GSM300198	PCG	CT
GSM300199	SFG	CT
GSM300200	PCG	CT
GSM300201	SFG	CT
GSM300202	PCG	CT
GSM300203	SFG	CT
GSM300204	EC	CT
GSM300205	HIP	CT
GSM300206	PCG	CT
GSM300207	SFG	CT
GSM300208	EC	CT
GSM300209	HIP	CT
GSM300210	PCG	CT
GSM300211	SFG	CT
GSM300212	PCG	CT
GSM300213	SFG	CT
GSM300214	EC	CT
GSM300215	HIP	CT
GSM300216	PCG	CT
GSM300217	SFG	CT
GSM300218	EC	CT
GSM300219	HIP	CT
GSM300220	PCG	CT
GSM300221	SFG	CT
GSM300222	EC	CT
GSM300223	HIP	CT
GSM300224	PCG	CT
GSM300225	SFG	CT
GSM300226	PCG	CT
GSM300227	HIP	CT
GSM300228	EC	CT
GSM300229	SFG	CT
GSM300230	EC	CT
GSM300231	HIP	CT
GSM300232	PCG	CT
GSM300233	SFG	CT
GSM300234	EC	CT
GSM300235	HIP	CT
GSM300236	PCG	CT
GSM300237	SFG	CT
GSM300238	EC	CT
GSM300239	HIP	CT
GSM300240	PCG	CT
GSM300241	SFG	CT
GSM300242	EC	CT
GSM300243	HIP	CT
GSM300244	PCG	CT
GSM300245	SFG	CT
GSM300246	PCG	CT
GSM300247	SFG	CT
GSM300248	EC	CT
GSM300249	PCG	CT
GSM300250	SFG	CT
GSM300251	SFG	CT
GSM300252	EC	CT
GSM300253	PCG	CT
GSM300254	SFG	CT
GSM300255	HIP	CT
GSM300256	PCG	CT
GSM300258	EC	CT
GSM300259	PCG	CT
GSM300260	SFG	CT
GSM300261	EC	CT
GSM300262	HIP	CT
GSM300263	PCG	CT
GSM300264	SFG	CT
GSM300265	PCG	CT
GSM300266	SFG	CT
GSM300267	EC	CT
GSM300268	HIP	CT
GSM300269	PCG	CT
GSM300270	SFG	CT
GSM300271	EC	CT
GSM300272	HIP	CT
GSM300273	PCG	CT
GSM300274	SFG	CT
GSM300275	EC	CT
GSM300276	HIP	CT
GSM300277	PCG	CT
GSM300278	SFG	CT
GSM300279	EC	CT
GSM300280	HIP	CT
GSM300281	PCG	CT
GSM300282	SFG	CT
GSM300283	PCG	CT
GSM300284	SFG	CT
GSM300285	EC	CT
GSM300286	HIP	CT
GSM300287	PCG	CT
GSM300288	SFG	CT
GSM300289	EC	CT
GSM300290	HIP	CT
GSM300291	PCG	CT
GSM300292	SFG	CT
GSM300293	EC	CT
GSM300294	HIP	CT
GSM300295	PCG	CT
GSM300296	SFG	CT
GSM300297	EC	CT
GSM300298	HIP	CT
GSM300299	SFG	CT
GSM300300	EC	CT
GSM300301	HIP	CT
GSM300302	PCG	CT
GSM300303	SFG	CT
GSM300304	EC	CT
GSM300305	HIP	CT
GSM300306	PCG	CT
GSM300307	SFG	CT
GSM300308	EC	CT
GSM300309	HIP	CT
GSM300310	PCG	CT
GSM300311	SFG	CT
GSM300312	EC	CT
GSM300313	HIP	CT
GSM300314	PCG	CT
GSM300315	SFG	CT
GSM300316	EC	CT
GSM300317	HIP	CT
GSM300318	PCG	CT
GSM300319	SFG	CT
GSM300320	EC	CT
GSM300321	HIP	CT
GSM300322	PCG	CT
GSM300323	SFG	CT
GSM300324	EC	CT
GSM300325	HIP	CT
GSM300326	PCG	CT
GSM300327	SFG	CT
GSM300328	EC	CT
GSM300329	HIP	CT
GSM300330	PCG	CT
GSM300331	SFG	CT
GSM300332	EC	CT
GSM300333	HIP	CT
GSM300335	SFG	CT
GSM300338	EC	CT
GSM300339	HIP	CT
GSM300340	PCG	CT
GSM300341	SFG	CT
GSM318840	SFG	CT
GSM350078	SFG	CT
GSM2233622	FP	CT
GSM2233625	FP	CT
GSM2233628	FP	CT
GSM2233630	FP	CT
GSM2233648	FP	CT
GSM2233649	FP	CT
GSM2233650	FP	CT
GSM2233656	FP	CT
GSM2233661	FP	CT
GSM2233664	FP	CT
GSM2233665	FP	CT
GSM2233668	FP	CT
GSM2233669	FP	CT
GSM2233676	FP	CT
GSM2233682	FP	CT
GSM2233688	OVC	CT
GSM2233698	OVC	CT
GSM2233701	OVC	CT
GSM2233702	OVC	CT
GSM2233706	OVC	CT
GSM2233711	OVC	CT
GSM2233715	OVC	CT
GSM2233716	OVC	CT
GSM2233718	OVC	CT
GSM2233722	OVC	CT
GSM2233723	OVC	CT
GSM2233731	OVC	CT
GSM2233734	OVC	CT
GSM2233739	ITG	CT
GSM2233742	ITG	CT
GSM2233748	ITG	CT
GSM2233762	ITG	CT
GSM2233763	ITG	CT
GSM2233764	ITG	CT
GSM2233769	ITG	CT
GSM2233772	ITG	CT
GSM2233774	ITG	CT
GSM2233775	ITG	CT
GSM2233778	ITG	CT
GSM2233779	ITG	CT
GSM2233787	ITG	CT
GSM2233794	ITG	CT
GSM2233797	MTG	CT
GSM2233799	MTG	CT
GSM2233801	MTG	CT
GSM2233803	MTG	CT
GSM2233817	MTG	CT
GSM2233819	MTG	CT
GSM2233820	MTG	CT
GSM2233826	MTG	CT
GSM2233832	MTG	CT
GSM2233834	MTG	CT
GSM2233835	MTG	CT
GSM2233839	MTG	CT
GSM2233845	MTG	CT
GSM2233852	MTG	CT
GSM2233854	STG	CT
GSM2233855	STG	CT
GSM2233860	STG	CT
GSM2233862	STG	CT
GSM2233865	STG	CT
GSM2233881	STG	CT
GSM2233882	STG	CT
GSM2233888	STG	CT
GSM2233895	STG	CT
GSM2233897	STG	CT
GSM2233898	STG	CT
GSM2233901	STG	CT
GSM2233906	STG	CT
GSM2233912	STG	CT
GSM2233919	PC	CT
GSM2233921	PC	CT
GSM2233938	PC	CT
GSM2233939	PC	CT
GSM2233940	PC	CT
GSM2233946	PC	CT
GSM2233951	PC	CT
GSM2233953	PC	CT
GSM2233955	PC	CT
GSM2233958	PC	CT
GSM2233959	PC	CT
GSM2233966	PC	CT
GSM2233971	AC	CT
GSM2233974	AC	CT
GSM2233977	AC	CT
GSM2233979	AC	CT
GSM2233998	AC	CT
GSM2233999	AC	CT
GSM2234000	AC	CT
GSM2234001	AC	CT
GSM2234005	AC	CT
GSM2234011	AC	CT
GSM2234013	AC	CT
GSM2234014	AC	CT
GSM2234017	AC	CT
GSM2234020	AC	CT
GSM2234027	AC	CT
GSM2234029	AC	CT
GSM2234030	PAG	CT
GSM2234033	PAG	CT
GSM2234035	PAG	CT
GSM2234038	PAG	CT
GSM2234040	PAG	CT
GSM2234057	PAG	CT
GSM2234059	PAG	CT
GSM2234060	PAG	CT
GSM2234072	PAG	CT
GSM2234074	PAG	CT
GSM2234077	PAG	CT
GSM2234078	PAG	CT
GSM2234081	PAG	CT
GSM2234084	PAG	CT
GSM2234089	PAG	CT
GSM2234093	TP	CT
GSM2234096	TP	CT
GSM2234098	TP	CT
GSM2234114	TP	CT
GSM2234115	TP	CT
GSM2234116	TP	CT
GSM2234117	TP	CT
GSM2234126	TP	CT
GSM2234128	TP	CT
GSM2234129	TP	CT
GSM2234132	TP	CT
GSM2234133	TP	CT
GSM2234140	TP	CT
GSM2234147	TP	CT
GSM2234151	PRG	CT
GSM2234157	PRG	CT
GSM2234172	PRG	CT
GSM2234184	PRG	CT
GSM2234186	PRG	CT
GSM2234202	IFG	CT
GSM2234204	IFG	CT
GSM2234222	IFG	CT
GSM2234223	IFG	CT
GSM2234224	IFG	CT
GSM2234229	IFG	CT
GSM2234234	IFG	CT
GSM2234235	IFG	CT
GSM2234237	IFG	CT
GSM2234240	IFG	CT
GSM2234246	IFG	CT
GSM2234252	DPC	CT
GSM2234254	DPC	CT
GSM2234258	DPC	CT
GSM2234260	DPC	CT
GSM2234274	DPC	CT
GSM2234275	DPC	CT
GSM2234276	DPC	CT
GSM2234279	DPC	CT
GSM2234282	DPC	CT
GSM2234284	DPC	CT
GSM2234287	DPC	CT
GSM2234289	DPC	CT
GSM2234292	DPC	CT
GSM2234299	DPC	CT
GSM2234303	DPC	CT
GSM2234306	DPC	CT
GSM2234310	SPL	CT
GSM2234312	SPL	CT
GSM2234325	SPL	CT
GSM2234326	SPL	CT
GSM2234327	SPL	CT
GSM2234332	SPL	CT
GSM2234337	SPL	CT
GSM2234339	SPL	CT
GSM2234341	SPL	CT
GSM2234344	SPL	CT
GSM2234345	SPL	CT
GSM2234351	SPL	CT
GSM2234354	SPL	CT
GSM2234363	PFC	CT
GSM2234365	PFC	CT
GSM2234366	PFC	CT
GSM2234386	PFC	CT
GSM2234392	PFC	CT
GSM2234395	PFC	CT
GSM2234397	PFC	CT
GSM2234398	PFC	CT
GSM2234401	PFC	CT
GSM2234402	PFC	CT
GSM2234406	PFC	CT
GSM2234431	CN	CT
GSM2234432	CN	CT
GSM2234433	CN	CT
GSM2234434	CN	CT
GSM2234438	CN	CT
GSM2234443	CN	CT
GSM2234445	CN	CT
GSM2234447	CN	CT
GSM2234449	CN	CT
GSM2234450	CN	CT
GSM2234458	CN	CT
GSM2234471	HIP	CT
GSM2234472	HIP	CT
GSM2234487	HIP	CT
GSM2234488	HIP	CT
GSM2234489	HIP	CT
GSM2234494	HIP	CT
GSM2234500	HIP	CT
GSM2234503	HIP	CT
GSM2234507	HIP	CT
GSM2234513	HIP	CT
GSM2234517	HIP	CT
GSM2234524	PUT	CT
GSM2234526	PUT	CT
GSM2234540	PUT	CT
GSM2234541	PUT	CT
GSM2234542	PUT	CT
GSM2234543	PUT	CT
GSM2234548	PUT	CT
GSM2234554	PUT	CT
GSM2234558	PUT	CT
GSM2233519	AMY	CT
GSM2233520	AMY	CT
GSM2233521	AMY	CT
GSM2233522	AMY	CT
GSM2233523	AMY	CT
GSM2233524	AMY	CT
GSM2233525	AMY	CT
GSM2233526	AMY	CT
GSM2233527	AMY	CT
GSM2233528	AMY	CT
GSM2233529	AMY	CT
GSM2233530	AMY	CT
GSM2233531	AMY	CT
GSM2233532	AMY	CT
GSM2233533	AMY	CT
GSM2233570	NUA	CT
GSM2233571	NUA	CT
GSM2233572	NUA	CT
GSM2233573	NUA	CT
GSM2233574	NUA	CT
GSM2233575	NUA	CT
GSM2233576	NUA	CT
GSM2233577	NUA	CT
GSM2233578	NUA	CT
GSM2233579	NUA	CT
GSM2233580	NUA	CT
GSM2233581	NUA	CT
GSM2233582	NUA	CT
GSM3332693	TC	CT
GSM3332694	FC	CT
GSM3332695	EC	CT
GSM3332696	CR	CT
GSM3332697	TC	CT
GSM3332698	EC	CT
GSM3332699	FC	CT
GSM3332701	EC	CT
GSM3332702	EC	CT
GSM3332703	TC	CT
GSM3332704	CR	CT
GSM3332705	FC	CT
GSM3332706	EC	CT
GSM3332738	FC	CT
GSM3332739	TC	CT
GSM3332740	FC	CT
GSM3332741	EC	CT
GSM3332742	TC	CT
GSM3332743	CR	CT
GSM3332753	TC	CT
GSM3332754	EC	CT
GSM3332755	TC	CT
GSM3332756	CR	CT
GSM3332757	FC	CT
GSM3332758	EC	CT
GSM3332759	EC	CT
GSM3332760	TC	CT
GSM3332761	CR	CT
GSM3332762	TC	CT
GSM3332763	FC	CT
GSM3332782	FC	CT
GSM3332796	CR	CT
GSM3332797	EC	CT
GSM3332798	FC	CT
GSM3332799	EC	CT
GSM3332800	TC	CT
GSM3332811	TC	CT
GSM3332820	EC	CT
GSM3332821	TC	CT
GSM3332822	EC	CT
GSM3332823	FC	CT
GSM3332828	TC	CT
GSM3332829	TC	CT
GSM3332830	CR	CT
GSM3332831	EC	CT
GSM3332832	CR	CT
GSM3332833	FC	CT
GSM3332834	FC	CT
GSM3332835	TC	CT
GSM3332843	TC	CT
GSM3332858	FC	CT
GSM3332859	TC	CT
GSM3332884	EC	CT
GSM3332885	TC	CT
GSM3332886	EC	CT
GSM3332887	CR	CT
GSM3332888	FC	CT
GSM3332948	FC	CT
GSM3332949	TC	CT
GSM3332950	EC	CT
GSM3332951	CR	CT
GSM3332952	CR	CT
GSM3332959	TC	CT
GSM3332960	TC	CT
GSM3332961	CR	CT
GSM3332962	FC	CT
GSM3332987	TC	CT
GSM3332988	CR	CT
GSM3332989	FC	CT
GSM3332990	TC	CT
GSM3332991	EC	CT
GSM3332996	TC	CT
GSM3332997	EC	CT
GSM3332998	CR	CT
GSM3333012	EC	CT
GSM3333013	EC	CT
GSM3333014	CR	CT
GSM3333015	FC	CT
GSM3333016	TC	CT
GSM3333035	TC	CT
GSM3333036	CR	CT
GSM3333037	FC	CT
GSM3333038	TC	CT
GSM3333051	CR	CT
GSM3333052	CR	CT
GSM3333053	TC	CT
GSM3333076	FC	CT
GSM3333077	EC	CT
GSM3333078	CR	CT
GSM3333079	TC	CT
GSM3333080	FC	CT
GSM3333081	EC	CT
GSM3333082	TC	CT
GSM3333083	CR	CT
GSM3333084	FC	CT
GSM3333085	EC	CT
GSM3333086	CR	CT
GSM3333087	CR	CT
GSM3333088	TC	CT
GSM3333089	FC	CT
