Sample	Region	Class
GSM907858	HIP	AD
GSM907859	HIP	AD
GSM907860	HIP	AD
GSM4764672	HIP	AD
GSM1176196	EC	AD
GSM1176197	EC	AD
GSM1176198	EC	AD
GSM1176199	EC	AD
GSM1176200	EC	AD
GSM1176201	EC	AD
GSM1176202	EC	AD
GSM1176203	EC	AD
GSM1176204	EC	AD
GSM1176205	EC	AD
GSM1176206	EC	AD
GSM1176207	EC	AD
GSM1176208	EC	AD
GSM1176209	EC	AD
GSM1176210	EC	AD
GSM1176211	HIP	AD
GSM1176212	HIP	AD
GSM1176213	HIP	AD
GSM1176214	HIP	AD
GSM1176215	HIP	AD
GSM1176216	HIP	AD
GSM1176217	HIP	AD
GSM1176218	HIP	AD
GSM1176219	HIP	AD
GSM1176220	HIP	AD
GSM1176221	HIP	AD
GSM1176222	HIP	AD
GSM1176223	HIP	AD
GSM1176224	HIP	AD
GSM1176225	HIP	AD
GSM1176226	HIP	AD
GSM1176227	HIP	AD
GSM1176228	HIP	AD
GSM1176229	HIP	AD
GSM1176230	PCG	AD
GSM1176231	PCG	AD
GSM1176232	PCG	AD
GSM1176233	PCG	AD
GSM1176234	PCG	AD
GSM1176235	PCG	AD
GSM1176236	PCG	AD
GSM1176237	PCG	AD
GSM1176238	PCG	AD
GSM1176239	PCG	AD
GSM1176240	PCG	AD
GSM1176241	PCG	AD
GSM1176242	PCG	AD
GSM1176243	PCG	AD
GSM1176244	PCG	AD
GSM1176245	PCG	AD
GSM1176246	PCG	AD
GSM1176247	PCG	AD
GSM1176248	PCG	AD
GSM1176249	PCG	AD
GSM1176250	PCG	AD
GSM1176251	PCG	AD
GSM1176252	PCG	AD
GSM1176253	PCG	AD
GSM1176254	PCG	AD
GSM1176255	SFG	AD
GSM1176256	SFG	AD
GSM1176257	SFG	AD
GSM1176258	SFG	AD
GSM1176259	SFG	AD
GSM1176260	SFG	AD
GSM1176261	SFG	AD
GSM1176262	SFG	AD
GSM1176263	SFG	AD
GSM1176264	SFG	AD
GSM1176265	SFG	AD
GSM1176266	SFG	AD
GSM1176267	SFG	AD
GSM1176268	SFG	AD
GSM1176269	SFG	AD
GSM1176270	SFG	AD
GSM1176271	SFG	AD
GSM1176272	SFG	AD
GSM1176273	SFG	AD
GSM1176274	SFG	AD
GSM1176275	SFG	AD
GSM2233623	FP	AD
GSM2233629	FP	AD
GSM2233632	FP	AD
GSM2233633	FP	AD
GSM2233634	FP	AD
GSM2233635	FP	AD
GSM2233637	FP	AD
GSM2233638	FP	AD
GSM2233640	FP	AD
GSM2233641	FP	AD
GSM2233642	FP	AD
GSM2233643	FP	AD
GSM2233644	FP	AD
GSM2233645	FP	AD
GSM2233647	FP	AD
GSM2233651	FP	AD
