GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
CYP2A6	6.08361826074471	5.7791437164617	5.96539500103534	6.03164102661221	5.88309840147201	6.06821132883658	5.48579459385031	5.94242499616906	5.69730973702555	5.74158102126473	5.97336352402862	5.97706068519726	5.57111002182385	5.5805485960286	5.91395291251947	5.88390704785397	5.67953622681989	5.85869803684722	5.84791674766103	5.98874854688048
GAS6	7.54103560139802	7.37995432629626	7.34594121478737	7.22649774856376	7.42863127539313	7.24047253021387	7.7049522780501	7.38838322139994	7.50097035116089	7.34969000937515	7.00514982580761	7.1608272528259	7.31753535702388	7.49409203595296	7.54952971125402	7.04406538905751	7.41085072188033	7.17565148004675	7.46422649940874	7.23661545803548
MMP14	6.23078561627	5.87195254772942	6.0701377836143	6.28665785761878	6.15034133277595	6.21204075390404	5.90169712613337	6.08896160212851	6.00404710834656	6.06566825744056	6.27823387894131	6.18030108174185	5.80769302466771	5.796713247005	6.22980893247353	6.19991642523215	5.98296103443827	6.13849211611032	5.93423481895814	6.1803348820387
TRADD	6.06904466536986	5.94307337208639	5.85040389859097	6.07517022184493	5.94053340480704	6.09480476022321	5.88773561524978	5.94062163867238	6.18477417014882	6.00579210537832	6.05559849905288	5.81655922201282	5.75495928690502	5.90802071768577	6.08667061403127	5.82227321639774	5.80438944385645	6.06834660469056	5.82559038160839	5.94583936972091
PLD1	5.47712356703506	4.70049477817284	4.73517949134404	4.72330233126449	4.76138633959811	5.45302630422952	5.03767265638814	4.81782732989054	4.94119395409635	4.85679926330146	5.02735199074028	4.83788830509279	4.63573242839089	4.56063035072378	5.03205575221212	4.75689709417881	4.66314658324398	4.83766745365385	4.74657483156309	5.25354952318352
BAD	6.45971070702063	6.35670549101941	6.46664914599015	6.33997757273111	6.53138393685337	6.41998485047857	6.73624792632895	6.1969922692471	6.72751101817488	6.67646436313084	6.12682649423221	6.63906904685729	6.6423055630401	6.25445385057299	6.21543881009743	6.39566177222376	6.72757091222856	6.59399828019726	6.32541117931042	6.42141058180108
PRPF8	8.59978707471766	8.4462178881294	8.80588023709625	8.4074774997041	8.51007003494927	8.03432779376912	8.93857287266522	8.50266489321507	8.63104246686451	8.67370341693352	8.11914060851061	8.74551690062938	8.8344271735001	8.64305258300715	8.28035212727365	8.50559478494487	8.84162325114115	8.44394957815358	8.44650072405912	8.26963296981654
CAPNS1	9.26074291799026	8.65950660752546	9.35576289563289	9.57262811561771	9.40485103732477	8.79838428201654	9.26209564920047	9.43497936263885	8.90705683829429	9.59497515114233	8.45600159947792	9.7344877359118	9.55265587222128	9.2039601601158	8.26193416157277	9.39379526475216	9.59221371796229	8.9856281042827	9.11632278807305	8.39463134700077
RPL35	9.59516602244274	9.92418668144028	9.83694971217202	9.71336238135691	10.4548269923001	10.8399960119795	10.5845802746334	9.98874301520675	10.8638930859323	10.1941079144887	9.94262079733867	9.83907286079117	10.5359656783018	10.5555474553332	9.91688287345915	9.88091559585095	10.2382697073205	10.2772826706023	10.2253953582876	10.1992778928257
EIF4G2	7.61600853047166	7.37330115113413	7.5940957807587	7.13591868035123	7.3300204946578	7.33244788076818	7.65151289386434	7.33807796531204	7.94917917768822	7.56932534116403	7.57585479127864	7.41932407843324	7.63572377123148	7.63536101589559	7.54430268192483	7.12784591786463	7.71301268622434	7.50255837123646	7.71436369234451	7.47521440156878
EIF3D	7.75172940029546	8.26400483030751	8.28436713613393	7.47144843129055	7.85208740723392	7.61484837045701	8.45857513740972	7.77844568760164	8.12257112155105	8.03477520311308	8.07077582412838	7.72268480056878	8.18826322638704	8.20240249598502	7.5935469135341	7.71173564776936	8.0786441100919	8.05292766398086	8.13115015297643	7.9997676889992
PARK7	10.1092565864896	10.7527246351731	10.5989618891411	9.92942627629604	10.4813803328685	9.87686751418492	10.1079565877172	10.1740183055047	10.6171945228426	10.4227595129184	10.3488744104378	10.0113622374995	10.454899802236	10.6737452890686	9.64221896221259	10.6759511668607	10.3864578708986	10.1648700982062	10.6635227621692	10.3142421202982
SRP14	10.2749715835275	10.4521297201838	10.7414993690182	10.5648895885269	10.4423265886625	10.3161170953241	10.7238261630357	10.614808104457	11.2302739965403	10.5996836073877	10.3556237155105	10.4886334067628	10.6025083997113	10.9020422346182	9.96904794297621	10.5309124719519	10.6350126859723	10.5215519533314	10.7822138401944	10.261393867462
GDI2	8.6461146498018	7.72920940043818	8.59422000658134	8.25077756218541	8.48996201937494	8.47481407487679	9.02702165165515	8.64873480739377	8.5065463827194	8.53755609020226	8.05316809638405	8.79225171457276	8.67059144411976	8.46476679765675	7.94020112556019	8.32749300270071	8.8466110956774	8.20485013035247	8.28579055452526	7.99123098856483
RPL11	9.31964412719018	9.78409845453546	9.97542468757024	9.87091938086095	10.2646188758261	10.4410792912233	10.5100687298023	9.92981276476237	10.9202605157249	10.1707182814609	9.64212695868621	9.73213813308525	10.3481550705057	10.3158113662036	9.69222825921243	9.92071860798501	10.3840893612675	10.1370153468882	10.2746796965933	10.3555531919311
ARF3	9.34929722849061	9.49898037062009	9.63971742796809	9.21949369789436	9.10105032354771	8.70742554699547	8.9395827105422	9.43723748999711	8.72534614761256	9.72083177796266	9.29194193006928	9.80990968495444	9.59469204361493	9.3526673833286	8.65927573353879	9.73794017685158	9.85780705054003	9.29858643351969	9.32462968978754	8.72108914581426
RPL24	10.2357151407145	10.8444455252633	10.7539397535518	10.3247675362548	10.7378849932085	10.8738576674492	11.0185984314692	10.5977918334677	11.0458815688047	10.7247818251206	10.7242384386464	10.2120926629221	10.8100215677363	10.9553508684092	10.6323391643286	10.4760855819075	10.7563164249062	10.6878599145211	10.7166900300619	10.7486253571375
HNRNPC	7.88714515824189	7.53481077087338	7.61021302366258	7.43143486723719	7.73713257713561	7.85863558351377	7.62854220315923	7.52916150297663	8.12659011905684	7.76180495911864	7.33541848778589	7.70611901498776	7.77102371785519	7.97335215477233	7.52044717994829	7.65721101688576	7.99294250226465	7.6637276332976	7.85745419466907	7.71937916371727
RPS27A	9.06235381529081	9.23174907987277	9.36389730552799	8.59368228276192	9.24926641288767	9.35592323711219	9.11150643996496	9.12890191935248	9.71331788980216	9.28562348240861	9.23711264525621	8.81286565358744	9.18097714603146	9.39133868759105	9.25793255877272	9.11939598558547	9.36482863549441	9.10370246134278	9.30744872864897	9.5719064372068
FAU	9.87699491752662	10.2469203842484	10.2394797274444	9.90155011298713	10.2690760673239	10.3744609829234	10.813346293388	10.1322142618486	10.7415101847666	10.2202387209654	10.289825295327	9.79192648194021	10.4827555110848	10.5870838442521	10.1360088119742	9.85275757780529	10.3883060579779	10.4575149615522	10.3804420259139	10.3729217780869
TARDBP	7.83724607726996	8.35361454114105	7.79780909897024	7.51404265937938	7.93678698734969	7.84478468524767	8.20250356139872	7.29736555492714	8.56685136745326	7.70083040763323	8.03234797372138	7.75008156062242	7.83693987545516	8.38496931334059	7.88854159047829	7.55972411483979	7.58640576896252	7.76605474228844	8.26516155480712	7.97459982587875
CFL1	10.125943454308	9.94531073073943	10.1917452695877	10.2149395273575	9.88279625155377	9.93955979609678	10.1836488942395	9.99767167339136	9.37671775919283	10.1370799448143	10.0201104930729	10.2013551894938	9.94252129956475	9.97219663058181	9.55604230754745	10.0148479385284	10.1040008545715	9.95823338798771	10.1097479849427	9.5100840270171
RPL18	8.91633070860618	8.62060662981332	8.8187991159031	8.92743037728694	9.36267824513888	9.34046955125855	9.64674238900076	8.67993843071425	9.26026803516803	8.79537046231846	8.55848135240202	8.77391099564534	8.90182099383367	8.90546873369555	9.18084408765561	8.49110452702338	8.71831880847452	8.92344295413806	8.78615547719283	8.83499832738383
EIF3F	6.53410296085903	6.65663657730842	6.647777201845	6.57505590809296	6.56756780869707	6.53186665434713	7.1305221276224	6.63039091201375	6.87900441723709	6.60185250187212	6.57252734413301	6.58681058533914	6.68333112794583	6.68657963447551	6.43031321282365	6.41850649413573	6.60894257588229	6.62857123225666	6.69843106484159	6.49952932411558
RPS5	9.42520964066635	8.88616472987082	9.61219103158083	9.56276013616662	9.81055504264825	10.1665042697286	10.064496584029	9.8017186448599	10.3249039864477	9.84356699632304	8.8063431781461	9.50488832478827	9.79412284195222	9.69554552748658	9.30895170039199	9.61651440801983	9.63678619170636	9.59812797555865	9.49875036478801	9.79893827896698
RPL27	10.499761931863	11.6531735414823	11.2794275554315	10.5259416091594	10.8752718625412	10.7924644241214	10.9357368389268	10.88652078568	11.4034973785891	11.0738483960503	11.1296558448204	10.6997775348234	11.0963874510752	11.3248877488285	10.9629562516099	10.7930350754201	10.875921983709	10.9316319217087	11.2121089906432	11.1007446613492
RPL34	9.84432644266779	10.1605364522187	9.78512192740382	9.61600787520933	10.0808912288105	10.1680354092081	9.96100263806045	9.67957383811388	10.0422742215271	9.64491637320412	10.0976158543058	9.35545426838904	9.85493169039142	10.0261280914796	9.9488558889498	10.0044288001668	9.84749281024549	9.92896097060169	9.92857733745957	10.0891006385188
STARD7	9.40916784551484	9.86375809607931	9.37214392915091	8.95971919234441	9.18111664860195	9.51164504421346	9.82118164292345	8.65470137527887	9.64764483147156	9.21067737200497	9.36231053512664	8.7879972903951	9.27645516590776	9.25227953370668	9.35357020675136	9.17345375731242	9.33009661465579	9.34917080928838	9.46029942520869	9.00896206271704
RPL19	10.3489318462914	10.5556314487754	10.6772898382513	10.2152281116076	10.7359953974654	10.7324675871997	11.5108424249445	10.4294305430719	11.1755460724103	10.4462844269285	10.5714692697095	10.3540371515682	10.7396762903731	10.822790961613	10.6230893456113	10.5796167995371	10.5630852339512	10.7193274411214	10.6731359705836	10.7667617533792
SLC25A3	9.24607485784175	9.27415666531308	9.58432447669658	9.25260247436477	9.21572510269503	8.59022232094691	9.72519119719046	9.46738864648023	9.0695150784294	9.61454617846846	9.25887009053394	9.61214819607166	9.65160149150021	9.63744493691204	8.75021655273513	9.12333972836992	9.65336657519109	9.21611372004791	9.36980050752903	8.89511840992474
RPL9	10.3944787530441	10.5046483052082	10.7632291774886	10.5672224646057	10.9448352164941	10.891967115056	9.95397864144384	10.702969049623	10.9716841579003	11.0823373521377	10.6276086085518	10.6380136710133	11.08393486479	11.0590913994558	10.5592898210263	11.0006153255549	10.7679299552966	10.82775446824	10.9981199391482	10.6525550502731
RPL6	9.93003799141183	9.89302908851432	10.1058275990172	9.65059899448035	9.77334396488044	9.81119594448406	9.81433743363191	9.96350119164274	10.656366951754	10.1213017350827	9.69269460188671	9.51687280251713	10.124445468659	10.2386879486744	9.84987556786182	9.79688543641522	10.2844702868198	10.0440148311888	10.1500536872568	9.84069045103277
RPL10A	9.22291038511877	9.79694843762443	9.83820309700547	9.42035495669842	9.64073934583755	10.0392767746048	10.4283636244037	9.68929688432357	10.2676905578924	9.84546572265201	9.78751922533031	9.5879497843444	10.097865175183	10.2208115095572	9.57177074767442	9.3477772979985	10.0742029798192	9.77209793399748	9.80245378238131	9.86031776240649
CBX3	6.42838179777626	6.850003404589	6.42738207579373	6.0288861313846	6.40295061201881	6.2894882735076	6.56592050054074	5.96901189843136	6.22189309942946	6.51175439895967	6.2351729212182	6.35883801623171	6.55968853232219	6.69992318487832	6.11918944228889	6.42795389936389	6.66584285264955	6.31880182870635	6.56226955435968	6.28073023920908
PSMB2	7.64506324416105	7.57897291713175	7.75307677996429	7.48926372504439	7.36979313427831	7.58443834536496	7.8543233758549	7.47202148757568	6.94806037722178	7.5880311232736	7.67434563545554	7.86374498498614	7.72802753753594	7.44447207342882	7.37898842497035	7.26759543631503	7.41454357034541	7.4565492475577	7.65150883050914	7.54999585783491
KHDRBS1	7.49608735823798	7.69957820069856	7.93958214777895	8.42146954876432	7.72566447364018	7.71239588582035	8.25284223294941	8.08148909077863	7.69750781241051	8.01784321392945	7.66384301608159	8.15418931989883	8.08351278146408	7.80102493322589	7.12647522004579	8.06833901820709	8.03634747653913	7.80259680612017	7.57506716468351	7.98119936612655
ERH	8.81572544644855	9.36625633727193	9.3347721520761	9.20497748734509	9.25292525884265	9.20921305408966	9.34325792465127	9.21356525350653	9.27091698800732	9.32069673482696	8.55164568242592	9.25505236987826	9.53699786813352	9.35459352336415	8.76043756174839	8.99997952286258	9.2176071090177	9.00908246604106	9.06733293669051	8.96289421653855
ABCF1	7.32551940143405	6.98876987778646	7.53929554799274	7.20770235705784	7.53943397734302	7.45770106050208	7.5544228863532	7.18947949271046	7.08036085435553	7.67355867212952	7.19251675142	7.57303850190271	7.41604651323542	7.26420973426202	7.3415751995473	7.52611010822641	7.32999587414243	7.400117939107	7.6600053612486	7.33884795902255
DAD1	8.35208649674988	8.03008531093	8.69833831882143	8.61155088031456	8.56454029798274	8.07520045595121	8.69164602447458	8.08903341400775	9.52835470288086	8.71692625977852	7.98602580983378	8.45496256795763	8.75670916267192	8.99926278799304	7.96091411621674	8.30956896340853	8.59720886204133	8.6694181123935	8.68349082986567	8.55864128330893
YY1	7.42070198456662	6.88213523155496	6.70687502062134	7.23048517567384	7.00541292053235	7.17678959950766	6.90401870514192	6.98505639863655	7.03951699616176	6.85649797832233	6.57607482298768	7.15320334371537	6.85956944318912	6.82511573417243	6.88192529339713	6.98109426705442	6.91131290917753	6.76585645727752	6.7791680763655	6.82019853502591
JTB	9.32845616929538	9.00114992156209	9.41852282020366	8.85485996486062	9.08240369986051	9.37149150732567	9.42178656519791	9.18360215102283	9.82965446707779	9.38711509419977	9.128838987867	9.26716905099288	9.53110868380781	9.46073005991805	9.15197560558635	8.99097967933884	9.39346212637669	9.48694667649545	9.61227292829821	9.26430007325087
ZNF146	7.37756321272985	7.53682994826187	7.27703161403356	7.18489533344565	7.35154706301076	7.651118524449	7.6378215288541	6.60866947291332	7.3444276648865	7.27779033529552	7.29326498714568	6.97370481462563	7.6091216510546	7.64783160502554	7.26503504156708	7.02932170387362	7.25055438022799	7.18763425528313	7.44596508854734	7.81138134405919
SART1	6.65011134838929	6.59507944160506	6.28204533613378	6.2764711666871	6.67371624553372	6.99606381402661	7.99852265056426	6.30788640376099	6.76681508214325	6.30284413747181	6.22445931942844	6.0938940682407	6.30626517536741	6.71892330671001	6.39527451548653	6.77680670292068	6.84546439586478	6.64348944855626	6.43357306191041	6.33615047067256
ILF2	6.85857294445608	6.80987454609269	7.2270504638889	6.46145046358133	6.74507544732494	6.45022062432322	7.68467125146734	6.73286449014195	7.08893167599722	7.38796345552731	6.51725371471507	6.9609378186203	7.40089045849993	7.36905455287804	6.13066351005746	6.73351205867103	7.44810908638653	6.7931781877444	7.19529135718459	6.94284107649631
