TF	TF.1	score	module
SRPK2	MDM2	1	AC-AD-7
SUMO1	MDM2	1	AC-AD-7
NPM1	MDM2	1	AC-AD-7
SRPK1	MDM2	1	AC-AD-7
ZBTB1	MDM2	1	AC-AD-7
TP73	MDM2	1	AC-AD-7
UBE2I	MDM2	1	AC-AD-7
RYBP	MDM2	1	AC-AD-7
SNAI1	MDM2	1	AC-AD-7
MDM2	BANP	1	AC-AD-7
SUMO1	MEF2C	1	AC-AD-7
MEF2C	HDAC4	1	AC-AD-7
NCOA2	MEF2C	1	AC-AD-7
TFCP2	MEF2C	1	AC-AD-7
MEF2D	MEF2C	1	AC-AD-7
MEF2D	HDAC4	1	AC-AD-7
PRMT5	MEF2D	1	AC-AD-7
SKP2	MEF2D	1	AC-AD-7
SUMO1	MEF2D	1	AC-AD-7
MEF2D	CARM1	1	AC-AD-7
HDAC4	CIITA	1	AC-AD-7
XPO1	CIITA	1	AC-AD-7
MAPK3	CIITA	1	AC-AD-7
XPO1	FOXO4	1	AC-AD-7
SUMO1	MSX1	1	AC-AD-7
PAX3	MSX1	1	AC-AD-7
MSX1	LHX2	1	AC-AD-7
NFKBIA	HDAC4	1	AC-AD-7
SUMO1	NFKBIA	1	AC-AD-7
UBE2I	NFKBIA	1	AC-AD-7
TERF2	NFRKB	1	AC-AD-7
NFRKB	MCRS1	1	AC-AD-7
NOTCH3	MAML1	1	AC-AD-7
PSIP1	NPM1	1	AC-AD-7
NPM1	CHAF1A	1	AC-AD-7
SQSTM1	NPM1	1	AC-AD-7
NPM1	NCOA6	1	AC-AD-7
NPM1	DICER1	1	AC-AD-7
NPM1	BANP	1	AC-AD-7
XPO1	NPM1	1	AC-AD-7
YBX1	NPM1	1	AC-AD-7
SUMO1	NPM1	1	AC-AD-7
SUPT16H	NPM1	1	AC-AD-7
YBX1	PSMB5	1	AC-AD-7
YBX1	PRKDC	1	AC-AD-7
SOX10	PAX3	1	AC-AD-7
PAX6	LHX2	1	AC-AD-7
TP73	PAX6	1	AC-AD-7
SUMO1	PAX6	1	AC-AD-7
SOX10	PAX6	1	AC-AD-7
SOX3	PAX6	1	AC-AD-7
PPARGC1A	PPARA	1	AC-AD-7
UBE2I	PPARA	1	AC-AD-7
PPARA	MAPK3	1	AC-AD-7
SUMO1	PPARA	1	AC-AD-7
PRKDC	CHAF1A	1	AC-AD-7
PRKDC	NR1H4	1	AC-AD-7
THRA	PRKDC	1	AC-AD-7
TERF1	PRKDC	1	AC-AD-7
SUMO1	PRKDC	1	AC-AD-7
PRKDC	NCOA6	1	AC-AD-7
MAPK3	HDAC4	1	AC-AD-7
NUP153	MAPK3	1	AC-AD-7
ZNF7	MAPK3	1	AC-AD-7
TOP2B	MAPK3	1	AC-AD-7
MAPK3	BANP	1	AC-AD-7
MAPK3	MAP2K1	1	AC-AD-7
NCOA2	MAPK3	1	AC-AD-7
SQSTM1	MAPK3	1	AC-AD-7
MAPK3	CIC	1	AC-AD-7
SUMO1	MAP2K1	1	AC-AD-7
MAP2K1	BANP	1	AC-AD-7
TERF1	PSMB5	1	AC-AD-7
TFDP2	RBL1	1	AC-AD-7
RLF	CBX5	1	AC-AD-7
RORA	NCOA2	1	AC-AD-7
