TF	target	score	module
BARX2	TNRC6B	1	AC-AD-7
BARX2	TPR	1	AC-AD-7
BARX2	TXNIP	1	AC-AD-7
BARX2	ZNF212	1	AC-AD-7
BPTF	ABT1	1	AC-AD-7
BPTF	AP2B1	1	AC-AD-7
BPTF	ASRGL1	1	AC-AD-7
BPTF	BICD1	1	AC-AD-7
BPTF	BRD2	1	AC-AD-7
BPTF	CEP350	1	AC-AD-7
BPTF	DLG1	1	AC-AD-7
BPTF	EIF4G1	1	AC-AD-7
BPTF	KCNB1	1	AC-AD-7
BPTF	KPNB1	1	AC-AD-7
BPTF	MAP3K12	1	AC-AD-7
BPTF	MTA1	1	AC-AD-7
BPTF	OGDH	1	AC-AD-7
BPTF	PSAT1	1	AC-AD-7
BPTF	RALA	1	AC-AD-7
BPTF	SPAG9	1	AC-AD-7
BPTF	TXNIP	1	AC-AD-7
BRCA2	ACD	1	AC-AD-7
BRCA2	AKAP1	1	AC-AD-7
BRCA2	ARFRP1	1	AC-AD-7
BRCA2	CREB1	1	AC-AD-7
BRCA2	EPN1	1	AC-AD-7
BRCA2	GNB2	1	AC-AD-7
BRCA2	GOLGA3	1	AC-AD-7
BRCA2	GPS2	1	AC-AD-7
BRCA2	HADHA	1	AC-AD-7
BRCA2	HMGB1	1	AC-AD-7
BRCA2	HYAL2	1	AC-AD-7
BRCA2	IL6ST	1	AC-AD-7
BRCA2	LRRC41	1	AC-AD-7
BRCA2	MAT2A	1	AC-AD-7
BRCA2	MRPL46	1	AC-AD-7
BRCA2	PARD6A	1	AC-AD-7
BRCA2	PCBP2	1	AC-AD-7
BRCA2	PICALM	1	AC-AD-7
BRCA2	PIK3R1	1	AC-AD-7
BRCA2	PRKCI	1	AC-AD-7
BRCA2	PRPF40A	1	AC-AD-7
BRCA2	SEMA6A	1	AC-AD-7
BRCA2	STX16	1	AC-AD-7
BRCA2	TCF4	1	AC-AD-7
CARM1	STX16	1	AC-AD-7
CASP8AP2	BBX	1	AC-AD-7
CASP8AP2	STX16	1	AC-AD-7
CBFA2T2	AAAS	1	AC-AD-7
CBFA2T2	ALAD	1	AC-AD-7
CBFA2T2	APC	1	AC-AD-7
CBFA2T2	BPTF	1	AC-AD-7
CBFA2T2	BRD2	1	AC-AD-7
CBFA2T2	BSG	1	AC-AD-7
CBFA2T2	CPEB1	1	AC-AD-7
CBFA2T2	DLG1	1	AC-AD-7
CBFA2T2	EIF4B	1	AC-AD-7
CBFA2T2	EIF4G1	1	AC-AD-7
CBFA2T2	GMFB	1	AC-AD-7
CBFA2T2	GNA13	1	AC-AD-7
CBFA2T2	GNAI2	1	AC-AD-7
CBFA2T2	GNB2	1	AC-AD-7
CBFA2T2	MAP3K12	1	AC-AD-7
CBFA2T2	MAPRE1	1	AC-AD-7
CBFA2T2	MAX	1	AC-AD-7
CBFA2T2	PICALM	1	AC-AD-7
CBFA2T2	PIK3R1	1	AC-AD-7
CBFA2T2	RASSF4	1	AC-AD-7
CBFA2T2	RC3H2	1	AC-AD-7
CBFA2T2	SF3B1	1	AC-AD-7
CBFA2T2	SPTB	1	AC-AD-7
CBFA2T2	TBCD	1	AC-AD-7
CBFA2T2	TEX10	1	AC-AD-7
CBFA2T2	TNPO2	1	AC-AD-7
CBFA2T2	TNRC6B	1	AC-AD-7
CBFA2T2	TXNL1	1	AC-AD-7
