GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012	GSM2233971	GSM2233974	GSM2233977	GSM2233979	GSM2233998	GSM2233999	GSM2234000	GSM2234001	GSM2234005	GSM2234011	GSM2234013	GSM2234014	GSM2234017	GSM2234020	GSM2234027	GSM2234029
ID1-HNRNPU	5.92119446287182	5.97475566689218	6.12814464510596	6.02724800036999	6.2071057062431	5.42089070162211	6.87321714501709	5.6559772190774	6.21701074958186	6.12619632215826	6.15539055951623	6.69285266585132	6.09421618812806	6.13469051655251	7.05850623966847	6.13326020056083	6.4234374757856	6.30827108362276	6.26162847313893	6.35684596705636	6.31175941183895	6.31880569834172	6.38019853730474	6.20348589076822	6.42264711761358	6.12520392010337	6.52133534087764	5.69047792590086	6.21064143957756	6.31361109779795	6.26221478822627	6.95848833989803	6.23995118845103	6.18104077457348	6.18541967818777	6.13629086932121
MAFG-HNRNPU	5.44606176402031	5.6983027224364	5.55543005630672	5.33658387906773	5.66406346168614	4.40495479730365	5.84651609738297	5.05400598276916	5.60921426046269	5.52164529895499	8.03403057638197	7.11424860761821	5.57834970534826	5.19316282002654	5.88754567027779	5.29782980115056	5.26035603650381	6.05991255437881	5.92903597182328	5.66386396555812	5.70899053409346	6.23865198208166	5.52103105834715	5.64243796023295	6.71815024020822	5.53426059844907	5.69486639388218	5.76338093232573	5.46837593502747	5.57258240672591	5.48399476542393	7.41767794411267	5.56661124162513	5.13974139671478	5.44428579604026	5.45751595474965
RBM34-HNRNPU	5.68166058077254	5.41295733042298	5.95581526136165	5.99539347854187	6.13169592968212	5.82875139994542	6.27634455396773	4.93865069157374	6.06254433871084	5.96791445251779	7.64615189330071	6.7681275067535	6.00851814090775	5.90040278462142	7.10928229463043	5.63235149356963	6.36597516187324	6.1736226776605	5.6451497621243	5.92778704440006	5.92350184295431	7.4879428656853	6.25156038237238	6.01928055082054	5.87461373312298	5.72369529756338	4.94650799244572	4.94230659598107	5.28557180074219	5.97148110331123	5.98452752056654	7.00162911883676	5.92319188616658	5.88253153814111	5.76375691479025	6.25578048574087
SAFB2-HNRNPU	5.71172426149887	6.4435290506636	6.18975190449454	6.38196968813894	6.19285134301242	5.79392537544983	6.21469613018712	5.62134868428392	6.16360660393174	6.21179517207595	6.9576892042966	6.20980169651659	6.17757291129683	5.99100854695651	6.95450965240924	6.28625780353345	7.05539463237545	6.20305466675116	5.90685657729117	6.15379730504101	6.34576615174321	6.59007202833575	6.40578885036301	6.26969253457456	6.697919020227	6.20463580172861	6.09452739274842	6.41799809260831	6.05880852070054	6.06910069679441	6.01282579196899	7.04868008456565	6.13208944246927	6.0551874088487	6.24060024496275	6.2006433837267
ZNF22-HNRNPU	5.95373556427946	5.80281995048679	6.13184154925204	5.83718339877129	6.04461246176328	5.4569407255109	6.20231831337014	5.74668307615836	5.80042348889279	6.06596093844348	7.46525016690985	6.18653640134232	6.02453605083218	5.91170611385132	6.03806145232359	6.05891576409579	6.25572464209473	6.09148799100777	6.1458562446245	6.07263379471684	6.09032756113767	6.55680171932741	6.12290518124016	6.27870091231793	6.2742099892143	6.23557323237731	5.89052271779076	6.9351688821519	6.20497542163234	6.12431400708333	6.0828820775846	6.19003405398982	6.19925838714973	6.23130701618933	6.20643454190612	6.11206929159222
ZNF282-HNRNPU	5.31613158772892	5.18559449683612	5.63710895741201	5.60585137215185	5.6122550669169	4.88782913073027	5.74402420998051	4.58862301847122	5.7133984464117	5.40387133575553	5.77343822851147	6.14625094330248	5.4281237641611	5.26515375200083	6.9705531322092	5.58044009269949	6.35599474915126	5.20492628349861	5.80335774596342	5.51352524721933	5.5417688648773	5.4248884763647	5.82368435293908	5.45714501384089	5.86994826176411	5.63341433147215	5.1569449125337	6.71772483410983	5.48503978463431	5.47434052505774	5.44192854877451	6.59293953866158	5.48384348297793	5.4179715834567	5.57468890650389	5.35805933371149
ZNF423-HNRNPU	5.68616116527303	5.43125528123728	6.087882200634	5.83987596539495	5.84664421119825	5.058057256232	6.17835607622843	5.30770466982833	5.50753498985883	5.77276723712417	6.68306905041344	6.79524515423896	5.90378977793794	5.58206722681304	7.14295824564587	5.77564848635227	5.67159423266274	5.73856697730304	6.10164744011563	5.76032957262254	5.70869201884939	5.66276634324177	5.64037914709806	5.52071185382896	7.13856916791892	5.70636199001601	5.67182317369812	6.47167418449121	5.4703700348451	5.65599870159539	5.62080455752339	7.09464420794511	5.73947497050798	5.3493728955697	5.53242933384072	5.5501301290093
HMGB1-RAD21	7.90703221360195	7.34554642488422	6.95079406985022	5.03958590584392	7.07324365265265	7.04835938512741	6.33732810314524	6.34180176709251	6.50642100727191	7.03925218819523	9.29523477874147	7.33100860494511	6.78832437616788	6.60878286179025	7.52103524396014	7.14009273649361	7.91359919455635	6.63334347037946	7.01501996285111	7.24834622776996	7.40419686007404	7.57340887145941	7.31849436071674	7.07667267269373	7.95388412165531	7.42637043909875	6.54614224075026	7.50437617106341	7.35046937114913	7.25039615176829	7.35290492192462	7.48988084462822	7.18394640373282	7.26737910423978	7.17424561020898	7.07361106971149
NFRKB-RAD21	7.8396626762146	7.09592136615706	7.19116496009156	6.66949068526725	7.38239520928204	6.64627771692949	6.89752724996225	7.02330173714694	7.19234764892389	7.46000799289968	8.64934294370494	7.41202742258176	7.09418462065128	6.93445549563614	8.1017609135971	7.24947963202084	9.10410674867987	7.37882389980953	7.11412845803434	7.95159286518205	7.65759986747753	7.81860848478462	7.90343448786324	7.65477897659447	7.41459238703003	7.59373155446931	8.09456010851878	7.72791123315868	8.07881789971167	7.45637630314478	7.04622814514856	7.54895976401062	7.42643119955619	7.64070273868228	7.48234715378744	7.52889415889284
GCM2-RAD21	7.6061374597563	7.44594681012333	7.23530272909758	5.52907271137843	7.3503033796639	6.90274188456223	6.07756821116644	7.38737647126374	6.97258140536738	7.30042608468483	9.24647903333374	7.43160585062321	7.48801799168666	6.96769817272011	7.84194596559811	7.61262561718129	7.83350377584958	7.64502849567185	7.57598316183956	7.98913205000963	7.44192717436763	7.60153044549565	8.03284846824735	7.92031105266175	7.79457807456033	7.49651233292705	7.01986905475957	7.73688537224977	7.80527099844424	7.50887450971663	7.1594884779701	9.2604510534433	7.6561163327565	7.50937872664205	7.52185418751523	7.30265983226883
